"HM_GL_IN_OVERSIGHT_REPORTS_ID","HM_SITE_ID","HM_STUDY_ID","REPORT_SOURCE","REPORT_ID","REPORT_TYPE","REPORT_START_DATE","REPORT_END_DATE"
2709003,228975,24533,"SH","5462","On Site Visit - Ongoing",2014-07-15 00:00:00,2014-07-24 00:00:00
2705912,227558,24533,"PSQRV","15509","PSQRV",2013-10-28 00:00:00,2013-10-29 00:00:00
2709365,227566,24533,"SH","6495","On Site Visit - Ongoing",2014-08-22 00:00:00,2014-08-22 00:00:00
2709371,227590,24533,"SH","3562","On Site Visit - Ongoing",2014-05-09 00:00:00,2014-05-09 00:00:00
2705928,227604,24533,"PSQRV","12458","PSQRV",2012-12-11 00:00:00,2012-12-11 00:00:00
2709372,227604,24533,"SH","10882","On Site Visit - Ongoing",2014-12-11 00:00:00,2014-12-11 00:00:00
2705929,227607,24533,"PSQRV","12459","PSQRV",2013-09-17 00:00:00,2013-09-17 00:00:00
2705931,227610,24533,"PSQRV","12460","PSQRV",2013-06-14 00:00:00,2013-06-14 00:00:00
2709373,227610,24533,"SH","10365","On Site Visit - Ongoing",2014-11-25 00:00:00,2014-11-25 00:00:00
2705933,227627,24533,"PSQRV","12461","PSQRV",2012-10-02 00:00:00,2012-10-02 00:00:00
2709374,227627,24533,"SH","3707","On Site Visit - Ongoing",2014-05-20 00:00:00,2014-05-20 00:00:00
2709375,227627,24533,"SH","2345","On Site Visit - Ongoing",2014-03-18 00:00:00,2014-03-19 00:00:00
2705934,227628,24533,"PSQRV","12463","PSQRV",2012-11-21 00:00:00,2012-11-21 00:00:00
2709376,227628,24533,"SH","7879","On Site Visit - Ongoing",2014-09-10 00:00:00,2014-09-11 00:00:00
2709377,227628,24533,"SH","3552","On Site Visit - Ongoing",2014-05-08 00:00:00,2014-05-09 00:00:00
2705935,227629,24533,"PSQRV","12466","PSQRV",2012-12-25 00:00:00,2012-12-25 00:00:00
2709378,227629,24533,"SH","3711","On Site Visit - Ongoing",2014-05-21 00:00:00,2014-05-21 00:00:00
2709379,227629,24533,"SH","3220","On Site Visit - Ongoing",2014-04-28 00:00:00,2014-04-28 00:00:00
2709380,227629,24533,"SH","425","On Site Visit - Ongoing",2013-12-11 00:00:00,2013-12-11 00:00:00
2709684,228171,24533,"SH","10595","On Site Visit - Ongoing",2014-11-24 00:00:00,2014-11-25 00:00:00
2709037,227156,24533,"SH","4595","On Site Visit - Ongoing",2014-06-23 00:00:00,2014-06-23 00:00:00
2705591,227157,24533,"PSQRV","12431","PSQRV",2013-07-02 00:00:00,2013-07-02 00:00:00
2705592,227159,24533,"PSQRV","12432","PSQRV",2013-06-12 00:00:00,2013-06-13 00:00:00
2709038,227159,24533,"SH","5436","On Site Visit - Ongoing",2014-07-21 00:00:00,2014-07-21 00:00:00
2709044,227182,24533,"SH","12216","On Site Visit - Ongoing",2015-01-19 00:00:00,2015-01-19 00:00:00
2705608,227195,24533,"PSQRV","12438","PSQRV",2013-04-24 00:00:00,2013-04-24 00:00:00
2709046,227195,24533,"SH","11145","On Site Visit - Ongoing",2014-12-15 00:00:00,2014-12-15 00:00:00
2709047,227195,24533,"SH","10441","On Site Visit - Ongoing",2014-11-24 00:00:00,2014-11-24 00:00:00
2705610,227203,24533,"PSQRV","12439","PSQRV",2013-07-22 00:00:00,2013-07-22 00:00:00
2709048,227203,24533,"SH","4184","On Site Visit - Ongoing",2014-06-16 00:00:00,2014-06-16 00:00:00
2705631,227269,24533,"PSQRV","12440","PSQRV",2013-06-24 00:00:00,2013-06-24 00:00:00
2712963,229639,24533,"SH","4234","On Site Visit - Ongoing",2014-06-10 00:00:00,2014-06-11 00:00:00
2712967,229661,24533,"SH","149","On Site Visit - Ongoing",2013-12-11 00:00:00,2013-12-11 00:00:00
2712968,229666,24533,"SH","6121","On Site Visit - Ongoing",2014-08-11 00:00:00,2014-08-11 00:00:00
2712969,229667,24533,"SH","2833","On Site Visit - Ongoing",2014-04-16 00:00:00,2014-04-17 00:00:00
2712970,229672,24533,"SH","11214","On Site Visit - Ongoing",2014-12-16 00:00:00,2014-12-16 00:00:00
2712971,229672,24533,"SH","1036","On Site Visit - Ongoing",2014-02-06 00:00:00,2014-02-06 00:00:00
2712972,229673,24533,"SH","4899","On Site Visit - Ongoing",2014-07-09 00:00:00,2014-07-09 00:00:00
2712973,229674,24533,"SH","10921","On Site Visit - Ongoing",2014-12-10 00:00:00,2014-12-10 00:00:00
2706864,229674,24533,"PSQRV","12491","PSQRV",2013-09-18 00:00:00,2013-09-18 00:00:00
2712978,229684,24533,"SH","13191","On Site Visit - Ongoing",2015-02-06 00:00:00,2015-02-06 00:00:00
2712979,229684,24533,"SH","10606","On Site Visit - Ongoing",2014-12-02 00:00:00,2014-12-02 00:00:00
2712980,229686,24533,"SH","12419","On Site Visit - Ongoing",2015-01-19 00:00:00,2015-01-19 00:00:00
2712981,229687,24533,"SH","9199","On Site Visit - Ongoing",2014-10-23 00:00:00,2014-10-23 00:00:00
2712982,229687,24533,"SH","624","On Site Visit - Ongoing",2014-01-16 00:00:00,2014-01-16 00:00:00
2712983,229688,24533,"SH","10696","On Site Visit - Ongoing",2014-11-26 00:00:00,2014-11-26 00:00:00
